Threshold,FPR,TPR,J_score
inf,0.0,0.0,0.0
0.995398,0.0,0.09090909090909091,0.09090909090909091
0.99081415,0.0,0.18181818181818182,0.18181818181818182
0.94653195,0.01818181818181818,0.18181818181818182,0.16363636363636364
0.76270527,0.01818181818181818,0.5454545454545454,0.5272727272727272
0.33459654,0.03636363636363636,0.5454545454545454,0.509090909090909
0.28780955,0.03636363636363636,0.7272727272727273,0.6909090909090909
0.03511401,0.21818181818181817,0.7272727272727273,0.5090909090909091
0.032039545,0.21818181818181817,0.8181818181818182,0.6000000000000001
0.010599153,0.32727272727272727,0.8181818181818182,0.49090909090909096
0.010126526,0.32727272727272727,0.9090909090909091,0.5818181818181818
0.00053092407,0.9090909090909091,0.9090909090909091,0.0
0.00052353385,0.9090909090909091,1.0,0.09090909090909094
0.00033640407,1.0,1.0,0.0
