Threshold,FPR,TPR,J_score
inf,0.0,0.0,0.0
0.9928010809515242,0.0,0.09090909090909091,0.09090909090909091
0.7829375014639258,0.0,0.5454545454545454,0.5454545454545454
0.7351175548713907,0.01818181818181818,0.5454545454545454,0.5272727272727272
0.6607467371142917,0.01818181818181818,0.6363636363636364,0.6181818181818182
0.4677135326855012,0.14545454545454545,0.6363636363636364,0.4909090909090909
0.45359684841325754,0.14545454545454545,0.7272727272727273,0.5818181818181818
0.1781463085615268,0.3090909090909091,0.7272727272727273,0.4181818181818182
0.17030140067406074,0.3090909090909091,0.8181818181818182,0.5090909090909091
0.09412457200913783,0.45454545454545453,0.8181818181818182,0.3636363636363637
0.08981756284809182,0.45454545454545453,0.9090909090909091,0.45454545454545453
0.04324506493023888,0.6363636363636364,0.9090909090909091,0.2727272727272727
0.042094406970107835,0.6363636363636364,1.0,0.36363636363636365
2.522455164793812e-05,1.0,1.0,0.0
