Threshold,FPR,TPR,J_score
inf,0.0,0.0,0.0
0.9143470939370026,0.0,0.09090909090909091,0.09090909090909091
0.8214701612606157,0.0,0.18181818181818182,0.18181818181818182
0.7450534441082971,0.03636363636363636,0.18181818181818182,0.14545454545454545
0.5055135708986946,0.03636363636363636,0.5454545454545454,0.509090909090909
0.4659424464657658,0.05454545454545454,0.5454545454545454,0.49090909090909085
0.43942223782657436,0.05454545454545454,0.7272727272727273,0.6727272727272727
0.3675132907118118,0.10909090909090909,0.7272727272727273,0.6181818181818182
0.36185563548048955,0.10909090909090909,0.8181818181818182,0.7090909090909091
0.1642377039052837,0.32727272727272727,0.8181818181818182,0.49090909090909096
0.1545762788968913,0.32727272727272727,0.9090909090909091,0.5818181818181818
0.07844241524118951,0.6363636363636364,0.9090909090909091,0.2727272727272727
0.07599328361641393,0.6363636363636364,1.0,0.36363636363636365
0.011373619267643235,1.0,1.0,0.0
